column,missing_rate
bankncuanumber,0.967540507896476
chargeoffdate,0.9386969105369908
franchisename,0.9140351410274914
franchisecode,0.9138452305892542
businessage,0.8152817131440813
soldsecmrktind,0.7662468379912033
paidinfulldate,0.2808319596478301
firstdisbursementdate,0.12054754977552586
bankfdicnumber,0.0725116035277763
naicsdescription,0.0009457539824218898
l2locid,0.0009229647298334106
bankstate,0.0009229647298334106
bankzip,0.0009229647298334106
bankstreet,0.0009229647298334106
bankcity,0.0009229647298334106
